DateTime,Outlet,Inlet_1,Inlet_2,Inlet_3,Inlet_4
2018-06-28 17:34:00,3109.44,1369.92,694.464,433.92,555.648
2018-06-28 17:36:00,3096.544,1365.952,690.368,433.92,555.648
2018-06-28 17:38:00,3083.648,1361.9840000000002,686.272,433.92,555.648
2018-06-28 17:40:00,3070.752,1358.016,682.176,433.92,555.648
2018-06-28 17:42:00,3070.752,1358.016,682.176,433.92,555.648
2018-06-28 17:44:00,3070.752,1358.016,682.176,433.92,555.648
2018-06-28 17:46:00,3070.752,1358.016,682.176,433.92,555.648
2018-06-28 17:48:00,3055.616,1361.2160000000001,682.176,442.688,557.376
2018-06-28 17:50:00,3040.48,1364.416,682.176,451.456,559.104
2018-06-28 17:52:00,3025.344,1367.616,682.176,460.224,560.832
2018-06-28 17:54:00,3025.344,1367.616,684.832,460.224,560.832
2018-06-28 17:56:00,3025.344,1367.616,687.488,460.224,560.832
2018-06-28 17:58:00,3025.344,1367.616,690.144,460.224,560.832
2018-06-28 18:00:00,3025.344,1367.616,690.144,445.728,562.08
2018-06-28 18:02:00,3025.344,1367.616,690.144,431.23199999999997,563.328
2018-06-28 18:04:00,3025.344,1367.616,690.144,416.736,564.576
2018-06-28 18:06:00,3040.8,1368.256,692.992,416.736,564.576
2018-06-28 18:08:00,3056.256,1368.896,695.84,416.736,564.576
2018-06-28 18:10:00,3071.712,1369.536,698.688,416.736,564.576
2018-06-28 18:12:00,3071.712,1369.536,698.688,416.736,564.576
2018-06-28 18:14:00,3071.712,1369.536,698.688,416.736,564.576
2018-06-28 18:16:00,3071.712,1369.536,698.688,416.736,564.576
2018-06-28 18:18:00,3079.84,1369.376,698.688,419.424,555.84
2018-06-28 18:20:00,3087.968,1369.2160000000001,698.688,422.112,547.104
2018-06-28 18:22:00,3096.096,1369.056,698.688,424.8,538.368
2018-06-28 18:24:00,3096.096,1369.056,691.104,424.8,538.368
2018-06-28 18:26:00,3096.096,1369.056,683.52,424.8,538.368
2018-06-28 18:28:00,3096.096,1369.056,683.52,421.88800000000003,543.424
2018-06-28 18:30:00,3096.096,1369.056,683.52,418.976,548.48
2018-06-28 18:32:00,3096.096,1369.056,683.52,416.064,553.536
2018-06-28 18:34:00,3103.328,1370.368,686.112,416.064,553.536
2018-06-28 18:36:00,3110.56,1371.68,688.7040000000001,416.064,553.536
2018-06-28 18:38:00,3117.792,1372.992,691.296,416.064,553.536
2018-06-28 18:40:00,3117.792,1372.992,691.296,416.064,553.536
2018-06-28 18:42:00,3117.792,1372.992,691.296,416.064,553.536
2018-06-28 18:44:00,3117.792,1372.992,691.296,416.064,553.536
2018-06-28 18:46:00,3066.848,1363.008,691.296,418.336,552.384
2018-06-28 18:48:00,3015.904,1353.024,691.296,420.608,551.232
2018-06-28 18:50:00,2964.96,1343.04,691.296,422.88,550.08
2018-06-28 18:52:00,2964.96,1343.04,682.6560000000001,422.88,550.08
2018-06-28 18:54:00,2964.96,1343.04,674.016,422.88,550.08
2018-06-28 18:56:00,2964.96,1343.04,665.376,422.88,550.08
2018-06-28 18:58:00,2964.96,1343.04,665.376,409.28,561.76
2018-06-28 19:00:00,2964.96,1343.04,665.376,395.68,573.44
2018-06-28 19:02:00,2964.96,1343.04,665.376,382.08,585.12
2018-06-28 19:04:00,3015.84,1357.056,672.64,382.08,585.12
2018-06-28 19:06:00,3066.72,1371.072,679.904,382.08,585.12
2018-06-28 19:08:00,3117.6,1385.088,687.168,382.08,585.12
2018-06-28 19:10:00,3117.6,1385.088,687.168,382.08,585.12
2018-06-28 19:12:00,3117.6,1385.088,687.168,382.08,585.12
2018-06-28 19:14:00,3117.6,1385.088,687.168,382.08,585.12
2018-06-28 19:16:00,3079.936,1369.76,687.168,396.32,576.672
2018-06-28 19:18:00,3042.272,1354.432,687.168,410.56,568.2239999999999
2018-06-28 19:20:00,3004.608,1339.104,687.168,424.8,559.776
2018-06-28 19:22:00,3004.608,1339.104,686.272,424.8,559.776
2018-06-28 19:24:00,3004.608,1339.104,685.376,424.8,559.776
2018-06-28 19:26:00,3004.608,1339.104,684.48,424.8,559.776
2018-06-28 19:28:00,3004.608,1339.104,684.48,424.8,559.776
2018-06-28 19:30:00,3004.608,1339.104,684.48,424.8,559.776
2018-06-28 19:32:00,3004.608,1339.104,684.48,424.8,559.776
2018-06-28 19:34:00,3013.28,1348.032,684.48,407.648,557.408
2018-06-28 19:36:00,3021.9519999999998,1356.96,684.48,390.496,555.04
2018-06-28 19:38:00,3030.624,1365.888,684.48,373.344,552.672
2018-06-28 19:40:00,3030.624,1365.888,691.5840000000001,373.344,552.672
2018-06-28 19:42:00,3030.624,1365.888,698.688,373.344,552.672
2018-06-28 19:44:00,3030.624,1365.888,705.792,373.344,552.672
2018-06-28 19:46:00,3030.624,1365.888,705.792,383.904,549.504
2018-06-28 19:48:00,3030.624,1365.888,705.792,394.464,546.336
2018-06-28 19:50:00,3030.624,1365.888,705.792,405.024,543.168
2018-06-28 19:52:00,3083.232,1357.8239999999998,699.424,405.024,543.168
2018-06-28 19:54:00,3135.8399999999997,1349.76,693.056,405.024,543.168
2018-06-28 19:56:00,3188.448,1341.696,686.688,405.024,543.168
2018-06-28 19:58:00,3188.448,1341.696,686.688,405.024,543.168
2018-06-28 20:00:00,3188.448,1341.696,686.688,405.024,543.168
2018-06-28 20:02:00,3188.448,1341.696,686.688,405.024,543.168
2018-06-28 20:04:00,3138.176,1354.7839999999999,686.688,399.488,550.592
2018-06-28 20:06:00,3087.904,1367.872,686.688,393.952,558.0160000000001
2018-06-28 20:08:00,3037.632,1380.96,686.688,388.416,565.44
2018-06-28 20:10:00,3037.632,1380.96,685.28,388.416,565.44
2018-06-28 20:12:00,3037.632,1380.96,683.8720000000001,388.416,565.44
2018-06-28 20:14:00,3037.632,1380.96,682.464,388.416,565.44
2018-06-28 20:16:00,3037.632,1380.96,682.464,384.672,562.88
2018-06-28 20:18:00,3037.632,1380.96,682.464,380.928,560.32
2018-06-28 20:20:00,3037.632,1380.96,682.464,377.184,557.76
2018-06-28 20:22:00,3036.064,1373.92,683.456,377.184,557.76
2018-06-28 20:24:00,3034.496,1366.8799999999999,684.4480000000001,377.184,557.76
2018-06-28 20:26:00,3032.928,1359.84,685.44,377.184,557.76
2018-06-28 20:28:00,3032.928,1359.84,685.44,377.184,557.76
2018-06-28 20:30:00,3032.928,1359.84,685.44,377.184,557.76
2018-06-28 20:32:00,3032.928,1359.84,685.44,377.184,557.76
2018-06-28 20:34:00,3027.104,1361.9199999999998,685.44,381.47200000000004,547.68
2018-06-28 20:36:00,3021.28,1364.0,685.44,385.76,537.6
2018-06-28 20:38:00,3015.456,1366.08,685.44,390.048,527.52
2018-06-28 20:40:00,3015.456,1366.08,645.12,390.048,527.52
2018-06-28 20:42:00,3015.456,1366.08,604.8000000000001,390.048,527.52
2018-06-28 20:44:00,3015.456,1366.08,564.48,390.048,527.52
2018-06-28 20:46:00,3015.456,1366.08,564.48,392.96,540.832
2018-06-28 20:48:00,3015.456,1366.08,564.48,395.872,554.144
2018-06-28 20:50:00,3015.456,1366.08,564.48,398.784,567.456
2018-06-28 20:52:00,3019.84,1371.232,598.016,398.784,567.456
2018-06-28 20:54:00,3024.224,1376.384,631.552,398.784,567.456
2018-06-28 20:56:00,3028.608,1381.536,665.088,398.784,567.456
2018-06-28 20:58:00,3028.608,1381.536,665.088,398.784,567.456
2018-06-28 21:00:00,3028.608,1381.536,665.088,398.784,567.456
2018-06-28 21:02:00,3034.784,1375.392,665.088,396.448,573.024
2018-06-28 21:04:00,3040.96,1369.248,665.088,394.112,578.592
2018-06-28 21:06:00,3047.136,1363.104,665.088,391.776,584.16
2018-06-28 21:08:00,3047.136,1363.104,677.632,391.776,584.16
2018-06-28 21:10:00,3047.136,1363.104,690.176,391.776,584.16
2018-06-28 21:12:00,3047.136,1363.104,702.72,391.776,584.16
2018-06-28 21:14:00,3047.136,1363.104,702.72,392.32,569.824
2018-06-28 21:16:00,3047.136,1363.104,702.72,392.86400000000003,555.488
2018-06-28 21:18:00,3047.136,1363.104,702.72,393.408,541.152
2018-06-28 21:20:00,3052.864,1361.664,695.7760000000001,393.408,541.152
2018-06-28 21:22:00,3058.592,1360.2240000000002,688.832,393.408,541.152
2018-06-28 21:24:00,3064.32,1358.784,681.888,393.408,541.152
2018-06-28 21:26:00,3064.32,1358.784,681.888,393.408,541.152
2018-06-28 21:28:00,3064.32,1358.784,681.888,393.408,541.152
2018-06-28 21:30:00,3064.32,1358.784,681.888,393.408,541.152
2018-06-28 21:32:00,3075.904,1357.056,681.888,390.08,543.104
2018-06-28 21:34:00,3087.4880000000003,1355.328,681.888,386.752,545.056
2018-06-28 21:36:00,3099.072,1353.6,681.888,383.424,547.008
2018-06-28 21:38:00,3099.072,1353.6,686.592,383.424,547.008
2018-06-28 21:40:00,3099.072,1353.6,691.296,383.424,547.008
2018-06-28 21:42:00,3099.072,1353.6,696.0,383.424,547.008
2018-06-28 21:44:00,3099.072,1353.6,696.0,391.424,545.5360000000001
2018-06-28 21:46:00,3099.072,1353.6,696.0,399.424,544.064
2018-06-28 21:48:00,3099.072,1353.6,696.0,407.424,542.592
2018-06-28 21:50:00,3082.976,1359.264,690.912,407.424,542.592
2018-06-28 21:52:00,3066.88,1364.928,685.824,407.424,542.592
2018-06-28 21:54:00,3050.784,1370.592,680.736,407.424,542.592
2018-06-28 21:56:00,3050.784,1370.592,680.736,407.424,542.592
2018-06-28 21:58:00,3050.784,1370.592,680.736,407.424,542.592
2018-06-28 22:00:00,3050.784,1370.592,680.736,407.424,542.592
2018-06-28 22:02:00,3025.248,1369.824,680.736,393.18399999999997,544.672
2018-06-28 22:04:00,2999.712,1369.056,680.736,378.944,546.752
2018-06-28 22:06:00,2974.176,1368.288,680.736,364.704,548.832
2018-06-28 22:08:00,2974.176,1368.288,683.2,364.704,548.832
2018-06-28 22:10:00,2974.176,1368.288,685.664,364.704,548.832
2018-06-28 22:12:00,2974.176,1368.288,688.128,364.704,548.832
2018-06-28 22:14:00,2974.176,1368.288,688.128,341.248,551.808
2018-06-28 22:16:00,2974.176,1368.288,688.128,317.79200000000003,554.784
2018-06-28 22:18:00,2974.176,1368.288,688.128,294.336,557.76
2018-06-28 22:20:00,3016.352,1365.76,692.352,294.336,557.76
2018-06-28 22:22:00,3058.5280000000002,1363.232,696.576,294.336,557.76
2018-06-28 22:24:00,3100.704,1360.704,700.8,294.336,557.76
2018-06-28 22:26:00,3100.704,1360.704,700.8,294.336,557.76
2018-06-28 22:28:00,3100.704,1360.704,700.8,294.336,557.76
2018-06-28 22:30:00,3100.704,1360.704,700.8,294.336,557.76
2018-06-28 22:32:00,3078.848,1356.8,700.8,325.952,557.3439999999999
2018-06-28 22:34:00,3056.992,1352.896,700.8,357.56800000000004,556.928
2018-06-28 22:36:00,3035.136,1348.992,700.8,389.184,556.512
2018-06-28 22:38:00,3035.136,1348.992,695.712,389.184,556.512
2018-06-28 22:40:00,3035.136,1348.992,690.6239999999999,389.184,556.512
2018-06-28 22:42:00,3035.136,1348.992,685.536,389.184,556.512
2018-06-28 22:44:00,3035.136,1348.992,685.536,391.61600000000004,558.976
2018-06-28 22:46:00,3035.136,1348.992,685.536,394.048,561.4399999999999
2018-06-28 22:48:00,3035.136,1348.992,685.536,396.48,563.904
2018-06-28 22:50:00,3043.968,1358.112,682.208,396.48,563.904
2018-06-28 22:52:00,3052.8,1367.232,678.88,396.48,563.904
2018-06-28 22:54:00,3061.632,1376.352,675.552,396.48,563.904
2018-06-28 22:56:00,3061.632,1376.352,675.552,396.48,563.904
2018-06-28 22:58:00,3061.632,1376.352,675.552,396.48,563.904
2018-06-28 23:00:00,3061.632,1376.352,675.552,396.48,563.904
2018-06-28 23:02:00,3051.296,1366.88,675.552,390.72,566.72
2018-06-28 23:04:00,3040.96,1357.408,675.552,384.96,569.536
2018-06-28 23:06:00,3030.624,1347.936,675.552,379.2,572.352
2018-06-28 23:08:00,3030.624,1347.936,678.176,379.2,572.352
2018-06-28 23:10:00,3030.624,1347.936,680.8,379.2,572.352
2018-06-28 23:12:00,3030.624,1347.936,683.424,379.2,572.352
2018-06-28 23:14:00,3030.624,1347.936,683.424,383.392,564.192
2018-06-28 23:16:00,3030.624,1347.936,683.424,387.584,556.0319999999999
2018-06-28 23:18:00,3030.624,1347.936,683.424,391.776,547.872
2018-06-28 23:20:00,3048.48,1355.232,683.648,391.776,547.872
2018-06-28 23:22:00,3066.336,1362.528,683.872,391.776,547.872
2018-06-28 23:24:00,3084.192,1369.824,684.096,391.776,547.872
2018-06-28 23:26:00,3084.192,1369.824,684.096,391.776,547.872
2018-06-28 23:28:00,3084.192,1369.824,684.096,391.776,547.872
2018-06-28 23:30:00,3084.192,1369.824,684.096,391.776,547.872
2018-06-28 23:32:00,3064.672,1369.472,684.096,388.76800000000003,544.16
2018-06-28 23:34:00,3045.152,1369.1200000000001,684.096,385.76,540.448
2018-06-28 23:36:00,3025.632,1368.768,684.096,382.752,536.736
2018-06-28 23:38:00,3025.632,1368.768,684.448,382.752,536.736
2018-06-28 23:40:00,3025.632,1368.768,684.8000000000001,382.752,536.736
2018-06-28 23:42:00,3025.632,1368.768,685.152,382.752,536.736
2018-06-28 23:44:00,3025.632,1368.768,685.152,387.04,545.088
2018-06-28 23:46:00,3025.632,1368.768,685.152,391.328,553.44
2018-06-28 23:48:00,3025.632,1368.768,685.152,395.616,561.792
2018-06-28 23:50:00,3042.112,1365.152,685.5360000000001,395.616,561.792
2018-06-28 23:52:00,3058.592,1361.536,685.92,395.616,561.792
2018-06-28 23:54:00,3075.072,1357.92,686.304,395.616,561.792
2018-06-28 23:56:00,3075.072,1357.92,686.304,395.616,561.792
2018-06-28 23:58:00,3075.072,1357.92,686.304,395.616,561.792
2018-06-29 00:00:00,3075.072,1357.92,686.304,395.616,561.792
2018-06-29 00:02:00,3051.4880000000003,1367.872,686.304,389.824,555.296
2018-06-29 00:04:00,3027.904,1377.824,686.304,384.032,548.8
2018-06-29 00:06:00,3004.32,1387.776,686.304,378.24,542.304
2018-06-29 00:08:00,3004.32,1387.776,684.768,378.24,542.304
2018-06-29 00:10:00,3004.32,1387.776,683.232,378.24,542.304
2018-06-29 00:12:00,3004.32,1387.776,681.696,378.24,542.304
2018-06-29 00:14:00,3004.32,1387.776,681.696,386.144,549.664
2018-06-29 00:16:00,3004.32,1387.776,681.696,394.048,557.024
2018-06-29 00:18:00,3004.32,1387.776,681.696,401.952,564.384
2018-06-29 00:20:00,3048.6400000000003,1372.64,681.376,401.952,564.384
2018-06-29 00:22:00,3092.96,1357.504,681.056,401.952,564.384
2018-06-29 00:24:00,3137.28,1342.368,680.736,401.952,564.384
2018-06-29 00:26:00,3137.28,1342.368,680.736,401.952,564.384
2018-06-29 00:28:00,3137.28,1342.368,680.736,401.952,564.384
2018-06-29 00:30:00,3137.28,1342.368,680.736,401.952,564.384
2018-06-29 00:32:00,3079.7760000000003,1343.008,680.736,397.664,559.84
2018-06-29 00:34:00,3022.272,1343.648,680.736,393.37600000000003,555.2959999999999
2018-06-29 00:36:00,2964.768,1344.288,680.736,389.088,550.752
2018-06-29 00:38:00,2964.768,1344.288,631.328,389.088,550.752
2018-06-29 00:40:00,2964.768,1344.288,581.92,389.088,550.752
2018-06-29 00:42:00,2964.768,1344.288,532.512,389.088,550.752
2018-06-29 00:44:00,2964.768,1344.288,532.512,389.088,550.752
2018-06-29 00:46:00,2964.768,1344.288,532.512,389.088,550.752
2018-06-29 00:48:00,2964.768,1344.288,532.512,389.088,550.752
2018-06-29 00:50:00,3021.7439999999997,1360.752,532.512,266.064,381.312
2018-06-29 00:52:00,3078.72,1377.216,532.512,143.04,211.872
2018-06-29 00:54:00,3078.72,1377.216,443.936,143.04,211.872
2018-06-29 00:56:00,3078.72,1377.216,355.36,143.04,211.872
2018-06-29 00:58:00,3078.72,1377.216,266.784,143.04,211.872
2018-06-29 01:00:00,3078.72,1377.216,266.784,219.83999999999997,316.8
2018-06-29 01:02:00,3078.72,1377.216,266.784,296.64,421.72799999999995
2018-06-29 01:04:00,3078.72,1377.216,266.784,373.44,526.656
2018-06-29 01:06:00,2451.968,1095.456,405.312,373.44,526.656
2018-06-29 01:08:00,1825.216,813.696,543.84,373.44,526.656
2018-06-29 01:10:00,1198.464,531.936,682.368,373.44,526.656
2018-06-29 01:12:00,1198.464,531.936,682.368,373.44,526.656
2018-06-29 01:14:00,1198.464,531.936,682.368,373.44,526.656
2018-06-29 01:16:00,1198.464,531.936,682.368,373.44,526.656
2018-06-29 01:18:00,1780.8960000000002,797.056,682.368,388.032,533.6
2018-06-29 01:20:00,2363.3280000000004,1062.176,682.368,402.624,540.544
2018-06-29 01:22:00,2945.76,1327.296,682.368,417.216,547.488
2018-06-29 01:24:00,2945.76,1327.296,683.168,417.216,547.488
2018-06-29 01:26:00,2945.76,1327.296,683.9680000000001,417.216,547.488
2018-06-29 01:28:00,2945.76,1327.296,684.768,417.216,547.488
2018-06-29 01:30:00,2945.76,1327.296,684.768,404.512,560.544
2018-06-29 01:32:00,2945.76,1327.296,684.768,391.808,573.6
2018-06-29 01:34:00,2945.76,1327.296,684.768,379.104,586.656
2018-06-29 01:36:00,2956.768,1336.768,685.088,379.104,586.656
2018-06-29 01:38:00,2967.7760000000003,1346.24,685.408,379.104,586.656
2018-06-29 01:40:00,2978.784,1355.712,685.728,379.104,586.656
2018-06-29 01:42:00,2978.784,1355.712,685.728,379.104,586.656
2018-06-29 01:44:00,2978.784,1355.712,685.728,379.104,586.656
2018-06-29 01:46:00,2978.784,1355.712,685.728,379.104,586.656
2018-06-29 01:48:00,3020.704,1350.528,685.728,380.896,573.3439999999999
2018-06-29 01:50:00,3062.624,1345.344,685.728,382.688,560.032
2018-06-29 01:52:00,3104.544,1340.16,685.728,384.48,546.72
2018-06-29 01:54:00,3104.544,1340.16,683.904,384.48,546.72
2018-06-29 01:56:00,3104.544,1340.16,682.0799999999999,384.48,546.72
2018-06-29 01:58:00,3104.544,1340.16,680.256,384.48,546.72
2018-06-29 02:00:00,3104.544,1340.16,680.256,379.072,540.384
2018-06-29 02:02:00,3104.544,1340.16,680.256,373.664,534.048
2018-06-29 02:04:00,3104.544,1340.16,680.256,368.256,527.712
2018-06-29 02:06:00,3101.632,1328.544,684.352,368.256,527.712
2018-06-29 02:08:00,3098.72,1316.9279999999999,688.448,368.256,527.712
2018-06-29 02:10:00,3095.808,1305.312,692.544,368.256,527.712
2018-06-29 02:12:00,3095.808,1305.312,692.544,368.256,527.712
2018-06-29 02:14:00,3095.808,1305.312,692.544,368.256,527.712
2018-06-29 02:16:00,3095.808,1305.312,692.544,368.256,527.712
2018-06-29 02:18:00,3028.928,1320.96,692.544,373.664,537.152
2018-06-29 02:20:00,2962.0480000000002,1336.608,692.544,379.072,546.592
2018-06-29 02:22:00,2895.168,1352.256,692.544,384.48,556.032
2018-06-29 02:24:00,2895.168,1352.256,643.072,384.48,556.032
2018-06-29 02:26:00,2895.168,1352.256,593.6,384.48,556.032
2018-06-29 02:28:00,2895.168,1352.256,544.128,384.48,556.032
2018-06-29 02:30:00,2895.168,1352.256,544.128,381.37600000000003,556.576
2018-06-29 02:32:00,2895.168,1352.256,544.128,378.272,557.12
2018-06-29 02:34:00,2895.168,1352.256,544.128,375.168,557.664
2018-06-29 02:36:00,2963.072,1352.864,597.248,375.168,557.664
2018-06-29 02:38:00,3030.976,1353.472,650.368,375.168,557.664
2018-06-29 02:40:00,3098.88,1354.08,703.488,375.168,557.664
2018-06-29 02:42:00,3098.88,1354.08,703.488,375.168,557.664
2018-06-29 02:44:00,3098.88,1354.08,703.488,375.168,557.664
